"Statistic Label","Daily","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"Debit Card Transactions - Total","2020 September 30","Daily total","Number","3605733"
"Debit Card Transactions - Total","2020 October 01","Daily total","Number","4177274"
"Debit Card Transactions - Total","2020 October 02","Daily total","Number","4489155"
"Debit Card Transactions - Total","2020 October 03","Daily total","Number","4229253"
"Debit Card Transactions - Total","2020 October 04","Daily total","Number","2965589"
"Debit Card Transactions - Total","2020 October 05","Daily total","Number","3376700"
"Debit Card Transactions - Total","2020 October 06","Daily total","Number","3637257"
"Debit Card Transactions - Total","2020 October 07","Daily total","Number","3496541"
"Debit Card Transactions - Total","2020 October 08","Daily total","Number","3956362"
"Debit Card Transactions - Total","2020 October 09","Daily total","Number","4363245"
"Debit Card Transactions - Total","2020 October 10","Daily total","Number","4114411"
"Debit Card Transactions - Total","2020 October 11","Daily total","Number","3014227"
"Debit Card Transactions - Total","2020 October 12","Daily total","Number","3346501"
"Debit Card Transactions - Total","2020 October 13","Daily total","Number","3456541"
"Debit Card Transactions - Total","2020 October 14","Daily total","Number","3415580"
"Debit Card Transactions - Total","2020 October 15","Daily total","Number","3932442"
"Debit Card Transactions - Total","2020 October 16","Daily total","Number","4364053"
"Debit Card Transactions - Total","2020 October 17","Daily total","Number","4166883"
"Debit Card Transactions - Total","2020 October 18","Daily total","Number","3026837"
"Debit Card Transactions - Total","2020 October 19","Daily total","Number","3420920"
"Debit Card Transactions - Total","2020 October 20","Daily total","Number","3817809"
"Debit Card Transactions - Total","2020 October 21","Daily total","Number","4064636"
"Debit Card Transactions - Total","2020 October 22","Daily total","Number","3548124"
"Debit Card Transactions - Total","2020 October 23","Daily total","Number","3959642"
"Debit Card Transactions - Total","2020 October 24","Daily total","Number","3538038"
"Debit Card Transactions - Total","2020 October 25","Daily total","Number","2692904"
"Debit Card Transactions - Total","2020 October 26","Daily total","Number","2650886"
"Debit Card Transactions - Total","2020 October 27","Daily total","Number","3204273"
"Debit Card Transactions - Total","2020 October 28","Daily total","Number","3191337"
"Debit Card Transactions - Total","2020 October 29","Daily total","Number","3634672"
"Debit Card Transactions - Total","2020 October 30","Daily total","Number","4164645"
"Debit Card Transactions - Total","2020 October 31","Daily total","Number","3537664"
"Debit Card Transactions - Total","2020 November 01","Daily total","Number","2704283"
"Debit Card Transactions - Total","2020 November 02","Daily total","Number","3067756"
"Debit Card Transactions - Total","2020 November 03","Daily total","Number","3429791"
"Debit Card Transactions - Total","2020 November 04","Daily total","Number","3356055"
"Debit Card Transactions - Total","2020 November 05","Daily total","Number","3738728"
"Debit Card Transactions - Total","2020 November 06","Daily total","Number","4157506"
"Debit Card Transactions - Total","2020 November 07","Daily total","Number","3723209"
"Debit Card Transactions - Total","2020 November 08","Daily total","Number","2792030"
"Debit Card Transactions - Total","2020 November 09","Daily total","Number","3220614"
"Debit Card Transactions - Total","2020 November 10","Daily total","Number","3337778"
"Debit Card Transactions - Total","2020 November 11","Daily total","Number","3269160"
"Debit Card Transactions - Total","2020 November 12","Daily total","Number","3784097"
"Debit Card Transactions - Total","2020 November 13","Daily total","Number","4234919"
"Debit Card Transactions - Total","2020 November 14","Daily total","Number","3762827"
"Debit Card Transactions - Total","2020 November 15","Daily total","Number","2778021"
"Debit Card Transactions - Total","2020 November 16","Daily total","Number","3142553"
"Debit Card Transactions - Total","2020 November 17","Daily total","Number","3365255"
"Debit Card Transactions - Total","2020 November 18","Daily total","Number","3389347"
"Debit Card Transactions - Total","2020 November 19","Daily total","Number","3819545"
"Debit Card Transactions - Total","2020 November 20","Daily total","Number","4282387"
"Debit Card Transactions - Total","2020 November 21","Daily total","Number","3838236"
"Debit Card Transactions - Total","2020 November 22","Daily total","Number","2955064"
"Debit Card Transactions - Total","2020 November 23","Daily total","Number","3257091"
"Debit Card Transactions - Total","2020 November 24","Daily total","Number","0"
"Debit Card Transactions - Total","2020 November 25","Daily total","Number","0"
"Debit Card Transactions - Total","2020 November 26","Daily total","Number","0"
"Debit Card Transactions - Total","2020 November 27","Daily total","Number","0"
"Debit Card Transactions - Total","2020 November 28","Daily total","Number","0"
"Debit Card Transactions - Total","2020 November 29","Daily total","Number","0"
"Debit Card Transactions - Total","2020 November 30","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 01","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 02","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 03","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 04","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 05","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 06","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 07","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 08","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 09","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 10","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 11","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 12","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 13","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 14","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 15","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 16","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 17","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 18","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 19","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 20","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 21","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 22","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 23","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 24","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 25","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 26","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 27","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 28","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 29","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 30","Daily total","Number","0"
"Debit Card Transactions - Total","2020 December 31","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 01","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 02","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 03","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 04","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 05","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 06","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 07","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 08","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 09","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 10","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 11","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 12","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 13","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 14","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 15","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 16","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 17","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 18","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 19","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 20","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 21","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 22","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 23","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 24","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 25","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 26","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 27","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 28","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 29","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 30","Daily total","Number","0"
"Debit Card Transactions - Total","2021 January 31","Daily total","Number","0"
"Debit Card Transactions - Total","2021 February 01","Daily total","Number","0"
